name,value,year,lastValue,rank
indigo,2106,2015.080000,1879,3
jade,60,2015.080000,43,5
kinetic,NA,2015.080000,NA,6
lunar,NA,2015.080000,NA,7
melodic,NA,2015.080000,NA,8
ardent,NA,2015.080000,NA,10
bouncy,NA,2015.080000,NA,11
crystal,NA,2015.080000,NA,12
dashing,NA,2015.080000,NA,13
eloquent,NA,2015.080000,NA,14
fuerte,460,2015.160000,460,4
groovy,2980,2015.160000,2980,2
hydro,4173,2015.160000,4067,1
indigo,2326,2015.160000,2106,3
jade,102,2015.160000,60,5
kinetic,NA,2015.160000,NA,6
lunar,NA,2015.160000,NA,7
melodic,NA,2015.160000,NA,8
ardent,NA,2015.160000,NA,10
bouncy,NA,2015.160000,NA,11
crystal,NA,2015.160000,NA,12
dashing,NA,2015.160000,NA,13
eloquent,NA,2015.160000,NA,14
fuerte,460,2015.250000,460,4
groovy,2982,2015.250000,2980,2
hydro,4278,2015.250000,4173,1
indigo,2502,2015.250000,2326,3
jade,143,2015.250000,102,5
kinetic,NA,2015.250000,NA,6
lunar,NA,2015.250000,NA,7
melodic,NA,2015.250000,NA,8
ardent,NA,2015.250000,NA,10
bouncy,NA,2015.250000,NA,11
crystal,NA,2015.250000,NA,12
dashing,NA,2015.250000,NA,13
eloquent,NA,2015.250000,NA,14
fuerte,460,2015.330000,460,4
groovy,2982,2015.330000,2982,2
hydro,4396,2015.330000,4278,1
indigo,2739,2015.330000,2502,3
jade,307,2015.330000,143,5
kinetic,NA,2015.330000,NA,6
lunar,NA,2015.330000,NA,7
melodic,NA,2015.330000,NA,8
ardent,NA,2015.330000,NA,10
bouncy,NA,2015.330000,NA,11
crystal,NA,2015.330000,NA,12
dashing,NA,2015.330000,NA,13
eloquent,NA,2015.330000,NA,14
fuerte,460,2015.410000,460,4
groovy,2982,2015.410000,2982,2
hydro,4463,2015.410000,4396,1
indigo,2893,2015.410000,2739,3
jade,398,2015.410000,307,5
kinetic,NA,2015.410000,NA,6
lunar,NA,2015.410000,NA,7
melodic,NA,2015.410000,NA,8
ardent,NA,2015.410000,NA,10
bouncy,NA,2015.410000,NA,11
crystal,NA,2015.410000,NA,12
dashing,NA,2015.410000,NA,13
eloquent,NA,2015.410000,NA,14
fuerte,460,2015.500000,460,4
groovy,2984,2015.500000,2982,3
hydro,4505,2015.500000,4463,1
indigo,3057,2015.500000,2893,2
jade,449,2015.500000,398,5
kinetic,NA,2015.500000,NA,6
lunar,NA,2015.500000,NA,7
melodic,NA,2015.500000,NA,8
ardent,NA,2015.500000,NA,10
bouncy,NA,2015.500000,NA,11
crystal,NA,2015.500000,NA,12
dashing,NA,2015.500000,NA,13
eloquent,NA,2015.500000,NA,14
fuerte,460,2015.580000,460,5
groovy,2985,2015.580000,2984,3
hydro,4531,2015.580000,4505,1
indigo,3198,2015.580000,3057,2
jade,521,2015.580000,449,4
kinetic,NA,2015.580000,NA,6
lunar,NA,2015.580000,NA,7
melodic,NA,2015.580000,NA,8
ardent,NA,2015.580000,NA,10
bouncy,NA,2015.580000,NA,11
crystal,NA,2015.580000,NA,12
dashing,NA,2015.580000,NA,13
eloquent,NA,2015.580000,NA,14
fuerte,460,2015.660000,460,5
groovy,2986,2015.660000,2985,3
hydro,4585,2015.660000,4531,1
indigo,3351,2015.660000,3198,2
jade,615,2015.660000,521,4
kinetic,NA,2015.660000,NA,6
lunar,NA,2015.660000,NA,7
melodic,NA,2015.660000,NA,8
ardent,NA,2015.660000,NA,10
bouncy,NA,2015.660000,NA,11
crystal,NA,2015.660000,NA,12
dashing,NA,2015.660000,NA,13
eloquent,NA,2015.660000,NA,14
fuerte,460,2015.750000,460,5
groovy,2986,2015.750000,2986,3
hydro,4609,2015.750000,4585,1
indigo,3492,2015.750000,3351,2
jade,671,2015.750000,615,4
kinetic,NA,2015.750000,NA,6
lunar,NA,2015.750000,NA,7
melodic,NA,2015.750000,NA,8
ardent,NA,2015.750000,NA,10
bouncy,NA,2015.750000,NA,11
crystal,NA,2015.750000,NA,12
dashing,NA,2015.750000,NA,13
eloquent,NA,2015.750000,NA,14
fuerte,460,2015.830000,460,5
groovy,2986,2015.830000,2986,3
hydro,4609,2015.830000,4609,1
indigo,3599,2015.830000,3492,2
jade,713,2015.830000,671,4
kinetic,NA,2015.830000,NA,6
lunar,NA,2015.830000,NA,7
melodic,NA,2015.830000,NA,8
ardent,NA,2015.830000,NA,10
bouncy,NA,2015.830000,NA,11
crystal,NA,2015.830000,NA,12
dashing,NA,2015.830000,NA,13
eloquent,NA,2015.830000,NA,14
fuerte,460,2015.910000,460,5
groovy,2986,2015.910000,2986,3
hydro,4609,2015.910000,4609,1
indigo,3717,2015.910000,3599,2
jade,768,2015.910000,713,4
kinetic,NA,2015.910000,NA,6
lunar,NA,2015.910000,NA,7
melodic,NA,2015.910000,NA,8
ardent,NA,2015.910000,NA,10
bouncy,NA,2015.910000,NA,11
crystal,NA,2015.910000,NA,12
dashing,NA,2015.910000,NA,13
eloquent,NA,2015.910000,NA,14
fuerte,460,2016.000000,460,5
groovy,2986,2016.000000,2986,3
hydro,4617,2016.000000,4609,1
indigo,3899,2016.000000,3717,2
jade,848,2016.000000,768,4
kinetic,NA,2016.000000,NA,6
lunar,NA,2016.000000,NA,7
melodic,NA,2016.000000,NA,8
ardent,NA,2016.000000,NA,10
bouncy,NA,2016.000000,NA,11
crystal,NA,2016.000000,NA,12
dashing,NA,2016.000000,NA,13
eloquent,NA,2016.000000,NA,14
fuerte,460,2016.080000,460,5
groovy,2986,2016.080000,2986,3
hydro,4617,2016.080000,4617,1
indigo,4034,2016.080000,3899,2
jade,911,2016.080000,848,4
kinetic,NA,2016.080000,NA,6
lunar,NA,2016.080000,NA,7
melodic,NA,2016.080000,NA,8
ardent,NA,2016.080000,NA,10
bouncy,NA,2016.080000,NA,11
crystal,NA,2016.080000,NA,12
dashing,NA,2016.080000,NA,13
eloquent,NA,2016.080000,NA,14
fuerte,460,2016.160000,460,5
groovy,2986,2016.160000,2986,3
hydro,4624,2016.160000,4617,1
indigo,4154,2016.160000,4034,2
jade,987,2016.160000,911,4
kinetic,1,2016.160000,NA,6
lunar,NA,2016.160000,NA,7
melodic,NA,2016.160000,NA,8
ardent,NA,2016.160000,NA,10
bouncy,NA,2016.160000,NA,11
crystal,NA,2016.160000,NA,12
